Primary_id,Primary_type,Title,Author,Edition,Collection,Notes,Volumes,Fulltext_Read,Fulltext_Search,Fulltext_Download,Image,OpenAccess,year_start,year_end,URL,Call number,Hollis
HYLRarebooks_1,HYLRarebooks,繡像三國志全傳 ,羅貫中著.,"時間:嘉慶7 (1802).,地點:China ,出版者:s.n.",經部，史部,"Caption title: 新刻按鑑演義三國英雄志傳.;; Running title: 三國志傳.;; ""20卷240段"";; On cover : 亦政堂黄記.",6 v. :$$bill. ;$$c26 cm.,n,n,n,y,y,1802.0,1802.0,http://nrs.harvard.edu/urn-3:FHCL:3588519,T/5754/1643,2397645
HYLRarebooks_2,HYLRarebooks,"康熙字典 :十二集三十六卷, 總目一卷, 檢字一卷, 辨似一卷, 等韻一卷, 補遺一卷, 備考一卷 ",總閱官[張玉書@CBDB@64173] ; 篹修官凌紹雯.,"時間:康熙55 (1716),地點:China ,出版者:內府",經部，史部,"八行十二字, 小字雙行二十四字, 四周雙邊, 白口, 單魚尾. 無欄綫. 框高19.3 x 13.2 公分.",40 v. ;$$c28 cm.,n,n,n,y,y,1716.0,1716.0,http://nrs.harvard.edu/urn-3:FHCL:4339956,T/5173/0735,3270312
HYLRarebooks_3,HYLRarebooks,工夫聖經 ,웨들著; 高羅福譯述.,"時間:昭和4 (1929),地點:京城 ,出版者:朝鮮耶穌敎書會",朝鮮漢籍,"On verso of t.p.: My study Bible, by John Weaver Weddell, trans. by R.T. Coit and C.W. Cho.","1, 1, 2, 173 p. ;$$c21 cm.",n,n,n,y,y,1929.0,1929.0,http://nrs.harvard.edu/urn-3:FHCL:1187875,TK/1977/9306,3808037
HYLRarebooks_4,HYLRarebooks,皇壇事實 :[甲申(1704) 正月十一日- 乙酉(1705)三月十一日].,,"時間:1739.,地點:漢城 ,出版者:s.n.",朝鮮漢籍,崇禎後再己末跋.;; Includes 皇壇追亨事實.;; Records of the enshrinement of the Ming dyasty king 神宗 in the 大報壇.,[124] double |. ;$$c34 cm.,n,n,n,y,y,1739.0,1739.0,http://nrs.harvard.edu/urn-3:FHCL:8909494,TK/1784/2141,3980411
HYLRarebooks_5,HYLRarebooks,龍舒增廣淨土文 ,王日休譔.,"時間:己未(1919).,地點:S.l. ,出版者:高山雲文寺留板",朝鮮漢籍,Cover title: 龍舒淨土文.,3 v. (double leaves) in case ;$$c29 cm.,n,n,n,y,y,1919.0,1919.0,http://nrs.harvard.edu/urn-3:FHCL:1863362,TK/1877/3433,4018887
HYLRarebooks_6,HYLRarebooks,光山盧氏世承 ,盧文永編.,"時間:丙寅1926,地點:光州 ,出版者:s.n.",朝鮮漢籍,Cover title.,6 double |. ;$$c33 cm.,n,n,n,y,y,1926.0,1926.0,http://nrs.harvard.edu/urn-3:FHCL:10171109,TK/2290.5/2181.9,4113313
HYLRarebooks_7,HYLRarebooks,草溪鄭氏族譜 :9卷 ,鄭大姬 等 編.,"時間:1764?,地點:草溪 ,出版者:玉田齋宮",朝鮮漢籍,"Imprint date from afterword: 崇禎紀元後三甲申, 後序.",9 v. (double leaves) ;$$c34 cm.,n,n,n,y,y,1764.0,1764.0,http://nrs.harvard.edu/urn-3:FHCL:12365335,TK/2290.5/8243.21,4139836
HYLRarebooks_8,HYLRarebooks,文蔭十世譜.,,"時間:,地點:S.l. ,出版者:",朝鮮漢籍,,2 v. ;$$c29-30 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:2561618,TK/2291.7/0412,4139858
HYLRarebooks_9,HYLRarebooks,嘉靖二十八年己酉九月初九日司馬榜目.,,"時間:1549,地點:S.l. ,出版者:s.n.",朝鮮漢籍,Includes 萬暦十一年癸未四月文[武]科榜目.,[24] double leaves ;$$c27 cm.,n,n,n,y,y,1549.0,1549.0,http://nrs.harvard.edu/urn-3:FHCL:1196273,TK/2291.7/1746/(1549),4143536
HYLRarebooks_10,HYLRarebooks,萬暦三十四年十一月初六日生進榜目.,,"時間:1606?,地點:S.l. ,出版者:s.n.",朝鮮漢籍,Cover title: 丙午式司馬榜.,[24] double leaves ;$$c26 cm.,n,n,n,y,y,1606.0,1606.0,http://nrs.harvard.edu/urn-3:FHCL:1196274,TK/2291.7/1746/(1606),4143546
