Primary_id,Primary_type,Secondary_id,Secondary_type,Secondary_relation,Title,Author,Edition,Collection,fulltext_read,fulltext_search,image,Volumes,Notes,ChineseTime,Time,OpenAccess,URL
ff80808154b87f9301550d90a18478da,zhonghuajingdian,,,,史記,(漢)司馬遷-撰;(南朝宋)裴駰-集解;(唐)司馬貞-索隱;(唐)張守節-正義;顧頡剛-點校;賀次君-點校;宋雲彬-點校;聶崇岐-點校,1982年11月北京中華書局,正史\上古；正史\先秦；正史\秦；正史\西漢；紀傳,y,y,y,,本書共130卷，包括本紀12卷、表10卷、書8卷、世家30卷、列傳70卷，是我國第一部紀傳體通史，記載了自上古傳説中的黄帝時代（前3000）直至漢武帝元狩元年（前122）近三千年的歷史。作者以其“究天人之際、通古今之變、成一家之言”的作史原則，詳實地記録了這一時段内有關政治、經濟、軍事、文化等各個方面的狀况，是研究漢武帝以前中國歷史最權威的資料。現存《史記》舊注有三家，即劉宋裴駰的《史記集解》、唐司馬貞的《史記索隱》和張守節的《史記正義》，自北宋起，三家注便散列于正文下，合爲一編。本書以金陵書局刊行的《史記集解所引正義合刻本》爲底本，同時參校其他衆多版本，并把原來散列在正文之下的三家注移到每段之後，由顧頡剛先生等分段標點。,,1982,NO,http://www.gujilianhe.com/pages/productmetadata/form/list?id=ff80808154b87f9301550d90a18478da
ff80808154b87f9301550da8b5cd2248,zhonghuajingdian,,,,漢書,(漢)班固-撰;(唐)顔師古-注;郭繩武-點校;馬長壽-點校;樓公凱-點校;黃暉-點校;冉昭德-點校;陳登原-點校;李之勤-點校;陳直-點校;賈正中-點校;劉清陽-點校;傅東華-點校,1962年6月北京中華書局,正史\西漢；紀傳,y,y,y,,本書共120卷，包括紀13卷、表10卷、志18卷、列傳79卷，是我國第一部紀傳體斷代史，記載了自漢高祖元年（前206）至王莽地皇四年（23）共230年間的史事。《漢書》體例上完全承襲《史記》，只是改“書”爲“志”，把“世家”并入“列傳”，此後正史的編纂，皆以其爲樣本。該書采用大量的詔令、奏議、詩賦、天文曆法書及“耳聞”，不少原始史料全文録入，故相比《史記》更具史料價值。本書以王先謙的《漢書補注》本爲底本，由西北大學歷史系分段標點，析出注文，但僅收録顔師古注，未將補注收入其中。同時，本書在點校時參用了北宋景祐本、明末毛氏汲古閣本、清乾隆武英殿本和同治金陵書局四種版本，并參校了前人的研究成果及楊樹達的補正。,,1962,NO,http://www.gujilianhe.com/pages/productmetadata/form/list?id=ff80808154b87f9301550da8b5cd2248
ff80808154b87f9301550cee78ca40e3,zhonghuajingdian,,,,後漢書,(宋)范曄-撰;(唐)李賢 等-注;金兆梓-點校;賀次君-點校;孫毓棠-點校;馬宗霍-點校;曾次亮-點校;孫人和-點校;宋雲彬-點校,1965年5月北京中華書局,正史\東漢；紀傳,y,y,y,,全書共120卷，包括本紀10卷、列傳80卷、志30卷，記載了自東漢光武帝建武元年（25）至漢獻帝建安二十五年（220）共195年的歷史。作者以《東觀漢記》等各家所撰後漢史書爲參考，自定體例，厘定成書，使本書成爲研究東漢歷史最重要的文獻。范曄原定編纂十紀、十志、八十列傳，合爲百卷，但十志未及寫成便遭殺害，今本《後漢書》中的律曆、禮儀、祭祀等八志乃取自司馬彪《續漢書》，以爲填補。本書以宋紹興刊本爲底本，并用汲古閣本與武英殿本進行對校，調整順序，重編新目，同時參考了大量前人研究成果，是目前較爲完善的版本。,,1965,NO,http://www.gujilianhe.com/pages/productmetadata/form/list?id=ff80808154b87f9301550cee78ca40e3
ff80808154b87f9301550db9fefd35cb,zhonghuajingdian,,,,三國志,(晉)陳壽-撰;(南朝宋)裴松之-注;陳乃乾-點校;周振甫-點校;傅東華-點校,1982年7月北京中華書局,正史\東漢；正史\三國；紀傳,y,y,y,,本書共65卷，是一部紀傳體斷代國别史，詳細記載了從魏文帝黄初元年（220）到晉武帝太康元年（280）共60年的歷史。《三國志》以國家爲叙史單位，把三國分成三書，其中魏書30卷，蜀書15卷，吴書20卷，在斷代史中别創一格。南朝宋裴松之廣泛搜輯陳壽之後的三國史料爲《三國志》作注，着重于事實的增補和考訂，使得注的内容超過原書數倍，故裴注的史料價值更爲珍貴。本書以百衲本、清武英殿本、金陵書局本、江南書局本互相勘對，擇善而從，并采用了梁章鉅《三國志旁證》及盧弼《三國志集解》的研究成果，加采蔣杲、翁同書、楊通、吴承仕諸家之説，進行進一步的整理，故本書是目前較爲完善的版本。,,1982,NO,http://www.gujilianhe.com/pages/productmetadata/form/list?id=ff80808154b87f9301550db9fefd35cb
ff80808154b87f9301550dcf576b5a35,zhonghuajingdian,,,,晉書,(唐)房玄齡 等-撰;吴則虞-點校;楊伯峻-點校;吴翊如-點校;汪紹楹-點校;丁曉先-點校;唐長孺-點校;陰法魯-點校;張忱石-點校,1974年11月北京中華書局,正史\晉；正史\十六國；紀傳,y,y,y,,本書共130卷，包括帝紀10卷、志20卷、列傳70卷、載記30卷。其叙事始于西晉高祖宣帝司馬懿，止于宋武帝劉裕代晉（420），記載了西晉和東晉兩朝的興亡史。其“載記”30卷，記述了匈奴、鮮卑、羯、氐、羌等十六國割據政權的史事，是紀傳體史書體例上的一個創新。本書以金陵書局本爲工作本，與宋本、清武英殿本互校，并參考了元二十二字本、明南北監本、吴本、周本、毛本的文字歧義，對前人校勘成果也多有汲取。,,1974,NO,http://www.gujilianhe.com/pages/productmetadata/form/list?id=ff80808154b87f9301550dcf576b5a35
ff80808154b87f9301550c637c9f0eac,zhonghuajingdian,,,,宋書,(梁)沈約-撰;王仲犖-點校;傅璇琮-點校,1974年10月北京中華書局,正史\南朝宋；紀傳,y,y,y,,全書共100卷，包括本紀10卷、志30卷、列傳60卷，記載了從晉恭帝元熙二年劉裕建宋（420）起到宋順帝昇明三年（479）60年間的史事。由于編纂時間較早，書中保存了很多珍貴的史料，尤其是收藏了當時人的許多奏議、書劄和文章，具有很高的史料價值。本書以宋元明三朝遞修本、明北監本、毛氏汲古閣本、清乾隆四年武英殿本、金陵書局本及商務印書館影印百衲本爲底本相互校對，擇善而從，同時還通校了其他史籍的有關部分，并吸收了前人的校勘成果，爲了易于尋檢，重新編排了全書的總目。,,1974,NO,http://www.gujilianhe.com/pages/productmetadata/form/list?id=ff80808154b87f9301550c637c9f0eac
ff80808154b87f9301550e07204d0830,zhonghuajingdian,,,,南齊書,(梁)蕭子顯-撰;王仲犖-點校;宋雲彬-點校,1972年1月北京中華書局,正史\南朝齊；紀傳,y,y,y,,本書原60卷，現存59卷，其中本紀8卷、志11卷、列傳40卷，記述了從南齊高帝蕭道成建國（479）到梁武帝滅南齊（502）前後23年的歷史。南齊是南北朝時期最短促的一個朝代，作者以當代人記當代事，在書中保存了一定數量的原始史料，價值較高。本書以百衲本爲底本，參校了明南監本、北監本、汲古閣本、清武英殿本、金陵書局本。另外，本書還參校了沈約《宋書》中的志，以及《南史》《通典》《册府元龜》《太平御覽》《資治通鑑》《資治通鑑考異》等書的有關部分，并吸取了大量前人的研究成果。,,1972,NO,http://www.gujilianhe.com/pages/productmetadata/form/list?id=ff80808154b87f9301550e07204d0830
ff80808154b87f9301550c75f32d2025,zhonghuajingdian,,,,梁書,(唐)姚思廉-撰;盧振華-點校;宋雲彬-點校;王仲犖-點校;趙守儼-點校,1973年5月北京中華書局,正史\南朝梁；紀傳,y,y,y,,本書共56卷，包括本紀6卷、列傳50卷，記述了南朝蕭齊末年的政治和蕭梁皇朝（502—557）五十餘年的史事，其中的26卷出自作者父親姚察之手。姚思廉撰《梁書》，除繼承其父的遺稿外，還吸取了梁、陳、隋歷朝史家編撰梁史的成果。本書特點之一是引文以外的部分以散文而不以當時流行的駢體文書寫。本書用百衲本及明南監本、北監本、汲古閣本，清武英殿本、金陵書局本互校，擇善而從，還參考了《南史》《册府元龜》《資治通鑑》和《資治通鑑考異》的有關部分，并汲取了大量前人的研究成果，是目前最好的版本。,,1973,NO,http://www.gujilianhe.com/pages/productmetadata/form/list?id=ff80808154b87f9301550c75f32d2025
ff80808154b87f9301550e2151fb218d,zhonghuajingdian,,,,陳書,(唐)姚思廉-撰;張維華-點校;王仲犖-點校,1972年3月北京中華書局,正史\南朝陳；紀傳,y,y,y,,本書共36卷，其中本紀6卷、列傳30卷，記載了自陳武帝即位（557）至陳後主亡國（589）前後33年的史事。關于陳代的早期歷史著作都已失傳，因此《陳書》就成爲現存較爲原始的記載。除政治和軍事問題外，本書在哲學史、文學史、宗教史、民族關係、對外關係方面也都保存了一些資料，是研究陳代歷史的重要史料。本書用百衲本及明南監本、北監本、汲古閣本，清武英殿本、金陵書局本互校，擇善而從，還參考了《南史》《册府元龜》《資治通鑑》和《資治通鑑考異》的有關部分，并汲取了大量前人的研究成果。某些卷（如卷一、卷三、卷九等）的末尾附有一兩行小字，乃宋人曾鞏所做校語，是百衲本原有的，皆予保留，以資參考。,,1972,NO,http://www.gujilianhe.com/pages/productmetadata/form/list?id=ff80808154b87f9301550e2151fb218d
ff80808154b87f9301550e2f1c163e7a,zhonghuajingdian,,,,魏書,(北齊)魏收-撰;唐長孺-點校;陳仲安-點校;王永興-點校;魏連科-點校,1974年6月北京中華書局,正史\北魏；正史\西魏；正史\東魏；紀傳,y,y,y,,本書共130卷，其中本紀12卷，列傳98卷，志20卷，記載了公元4世紀末至6世紀中葉的北魏王朝興亡史。《魏書》是現存叙述北魏歷史最原始和較完備的資料，書中記載鮮卑拓跋部的早期活動，反映了拓跋部的社會面貌，提供了由氏族、部落到國家發展過程中的材料，是研究北魏歷史的重要史料。本書以百衲本、南監本、北監本、汲古閣本、武英殿本及金陵書局本相互通校，擇善而從，并對比了《太平御覽》所引《後魏書》及《册府元龜》《北史》《資治通鑑》中有關部分，也參考了《通典》《通志》，是目前較爲完備的版本。,,1974,NO,http://www.gujilianhe.com/pages/productmetadata/form/list?id=ff80808154b87f9301550e2f1c163e7a
